plot,mothID,mothID_format,count,total_basal_all,planttype,num_hostplants,category
1,Panopoda carneicosta,Panopoda carneicosta,1,0.001745567,wood,4,generalist
1,"Paralobesia liriodendrana (Kearfott, 1904)",Paralobesia liriodendrana,8,2.410319787,wood,2,generalist
1,Phaecasiophora confixana,Phaecasiophora confixana,1,0.003029072,wood,1,specialist
1,"Phaecasiophora confixana (Walker, 1863)",Phaecasiophora confixana,1,0.003029072,wood,1,specialist
1,"Phaecasiophora confixana (Walker, 1863)",Phaecasiophora confixana,3,0.003029072,wood,1,specialist
1,"Platynota idaeusalis (Walker, 1859) ",Platynota idaeusalis,1,0.270280492,wood,10,generalist
1,"Pococera asperatella (Clemens, 1860)",Pococera asperatella,1,0.33350595,wood,8,generalist
1,Pseudeustrotia carneola,Pseudeustrotia carneola,1,0,wood,1,specialist
1,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,2,0.33350595,wood,8,generalist
1,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,11,0.33350595,wood,8,generalist
1,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,19,0.33350595,wood,8,generalist
1,"Pyrrharctia isabella (Smith, 1797)",Pyrrharctia isabella,1,0.528110985,wood,8,generalist
1,"Renia adspergillus (Bosc, [1800])",Renia adspergillus,2,0,wood,2,generalist
1,"Rheumaptera prunivorata (Ferguson, 1955)",Rheumaptera prunivorata,1,0.253569256,wood,3,generalist
1,"Scopula limboundata (Haworth, 1809)",Scopula limboundata,1,0.253569256,wood,9,generalist
1,"Scopula limboundata (Haworth, 1809) ",Scopula limboundata,2,0.253569256,wood,9,generalist
1,Speranza pustularia,Speranza pustularia,1,0.511399749,wood,4,generalist
1,"Spilosoma virginica (Fabricius, 1798",Spilosoma virginica,2,0.529651191,wood,18,generalist
1,"Tetanolita floridana Smith, 1895",Tetanolita floridana,2,0,wood,2,generalist
1,"Xestia dolosa Franclemont, 1980",Xestia dolosa,1,0.258035854,wood,8,generalist
1,"Athetis tarda (Guenée, 1852) ",Athetis tarda,2,0,wood,3,generalist
1,"Lomographa vestaliata (Guenée, [1858])",Lomographa vestaliata,7,0.520974697,wood,10,generalist
1,"Zanclognatha cruralis (Guenée, 1854) ",Zanclognatha cruralis,1,0.07392989,wood,5,generalist
1,"Bleptina caradrinalis Guenée, 1854",Bleptina caradrinalis,1,0.255314823,wood,4,generalist
1,"Nemoria bistriaria Hübner, 1818",Nemoria bistriaria,1,0.253569256,wood,5,generalist
1,"Palthis asopialis (Guenée, 1854)",Palthis asopialis,1,0,wood,1,specialist
1,"Nemoria bistriaria Hübner, 1818 ",Nemoria bistriaria,3,0.253569256,wood,5,generalist
1,"Hyperstrotia nana (Hübner, 1818)",Hyperstrotia nana,2,0.001745567,wood,4,generalist
2,"Athetis tarda (Guenée, 1852)",Athetis tarda,1,0,wood,2,generalist
2,"Udea rubigalis (Guenée, 1854) ",Udea rubigalis,1,0,wood,1,specialist
2,"Acleris schalleriana (Linnaeus, 1761)",Acleris schalleriana,1,0.001604381,wood,3,generalist
2,"Acronicta ovata (Grote, 1873)",Acronicta ovata,2,1.616844135,wood,6,generalist
2,Acronicta retardata,Acronicta retardata,1,0.947804298,wood,4,generalist
2,"Agnippe prunifoliella (Chambers, 1873)",Agnippe prunifoliella,1,0.432348673,wood,1,specialist
2,Automeris io,Automeris io,1,6.728659661,wood,34,generalist
2,Baileya australis,Baileya australis,1,0,wood,1,specialist
2,"Callosamia angulifera (Walker, 1855)",Callosamia angulifera,2,5.170946604,wood,6,generalist
2,"Idia aemula Hübner, 1814",Idia aemula,1,0.432348673,wood,4,generalist
2,"Athetis tarda (Guenée, 1852)",Athetis tarda,3,0,wood,2,generalist
2,"Desmia funeralis (Hübner, 1796)",Desmia funeralis,1,0.002104948,wood,2,generalist
2,"Zanclognatha cruralis (Guenée, 1854)",Zanclognatha cruralis,1,0.596637318,wood,5,generalist
2,"Desmia funeralis (Hübner, 1796)",Desmia funeralis,3,0.002104948,wood,2,generalist
2,"Melanolophia canadaria (Guenée, [1858]) ",Melanolophia canadaria,3,2.813815265,wood,26,generalist
2,"Melanolophia canadaria (Guenée, [1858]) ",Melanolophia canadaria,4,2.813815265,wood,26,generalist
2,"Chionodes obscurusella (Chambers, 1872)",Chionodes obscurusella,1,0.947804298,wood,1,specialist
2,"Clemensia albata Packard, 1864",Clemensia albata,1,0,wood,2,generalist
2,"Coleophora querciella Clemens, 1861",Coleophora querciella,1,0.432348673,wood,3,generalist
2,"Colocasia flavicornis (Smith, 1884)",Colocasia flavicornis,2,1.616844135,wood,8,generalist
2,"Datana integerrima Grote & Robinson, 1866",Datana integerrima,1,0.657603807,wood,11,generalist
2,"Datana integerrima Grote & Robinson, 1866",Datana integerrima,3,0.657603807,wood,11,generalist
2,"Dichomeris inversella (Zeller, 1873)",Dichomeris inversella,1,0.060850974,wood,1,specialist
2,"Elophila obliteralis (Walker, 1859)",Elophila obliteralis,1,0,wood,1,specialist
2,"Endothenia hebesana (Walker, 1863) ",Endothenia hebesana,1,0,wood,2,generalist
2,"Epicallima argenticinctella (Clemens, 1860)",Epicallima argenticinctella,1,0.060850974,wood,4,generalist
2,"Epimecis hortaria (Fabricius, 1794)",Epimecis hortaria,3,4.683779431,wood,9,generalist
2,Eudryas grata,Eudryas grata,1,0.002104948,wood,3,generalist
2,"Halysidota tessellaris (Smith, 1797)",Halysidota tessellaris,1,6.524428339,wood,29,generalist
2,"Halysidota tessellaris (Smith, 1797) ",Halysidota tessellaris,2,6.524428339,wood,29,generalist
2,"Herpetogramma pertextalis (Lederer, 1863)",Herpetogramma pertextalis,1,0.947804298,wood,6,generalist
2,"Herpetogramma pertextalis (Lederer, 1863)",Herpetogramma pertextalis,10,0.947804298,wood,6,generalist
2,"Heterocampa guttivitta (Walker, 1855)",Heterocampa guttivitta,3,2.60759451,wood,27,generalist
2,"Heterocampa guttivitta (Walker, 1855)",Heterocampa guttivitta,4,2.60759451,wood,27,generalist
2,Heterocampa obliqua,Heterocampa obliqua,2,0,wood,1,specialist
2,"Homorthodes lindseyi (Benjamin, 1922)",Homorthodes lindseyi,2,0.432348673,wood,2,generalist
2,"Hypagyrtis unipunctata (Haworth, 1809)",Hypagyrtis unipunctata,10,2.049308323,wood,23,generalist
2,"Hypena abalienalis Walker, 185",Hypena abalienalis,1,0,wood,2,generalist
2,"Hypena scabra (Fabricius, 1798)",Hypena scabra,1,1.393308897,wood,10,generalist
2,"Hyphantria cunea (Drury, 1773)",Hyphantria cunea,2,7.628088653,wood,48,generalist
2,"Lacinipolia renigera (Stephens, 1829)",Lacinipolia renigera,2,0,wood,4,generalist
2,"Malacosoma americana (Fabricius, 1793)",Malacosoma americana,1,2.605990129,wood,24,generalist
2,"Meganola phylla (Dyar, 1898)",Meganola phylla,1,0.596637318,wood,2,generalist
2,"Nadata gibbosa (Smith, 1797)",Nadata gibbosa,1,2.049192808,wood,12,generalist
2,Olethreutes nigranum,Olethreutes nigranum,1,1.008655272,wood,3,generalist
2,"Palpita magniferalis (Walker, 1861)",Palpita magniferalis,2,0,wood,1,specialist
2,"Paonias excaecata (Smith, 1797)",Paonias excaecata,1,1.99006173,wood,19,generalist
2,Parallelia bistriaris,Parallelia bistriaris,1,0.959355843,wood,4,generalist
2,"Paralobesia liriodendrana (Kearfott, 1904)",Paralobesia liriodendrana,2,4.471410687,wood,2,generalist
2,"Perimede erransella Chambers, 1874",Perimede erransella,2,4.532261661,wood,4,generalist
2,"Pococera asperatella (Clemens, 1860)",Pococera asperatella,1,1.60529259,wood,8,generalist
2,Polygrammate hebraeicum,Polygrammate hebraeicum,1,0.556681806,wood,2,generalist
2,"Prochoerodes lineola (Goeze, 1781)",Prochoerodes lineola,3,1.393308897,wood,18,generalist
2,"Proteoteras aesculana Riley, 1881",Proteoteras aesculana,1,0.947804298,wood,4,generalist
2,"Pseudotelphusa quercinigracella (Chambers, 1872)",Pseudotelphusa quercinigracella,1,0,wood,1,specialist
2,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,3,1.616844135,wood,8,generalist
2,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,8,1.616844135,wood,8,generalist
